年 year
轻 lighter
经常 frequently
经常 regular
经常 often
经常 frequent
台 terrace
满 mitsuru
满 full
负 negative
粤语 cantonese
亨利 henry
交易 transaction
交易 trading
交易 deal
交易 transactions
黑色 black
爆炸 blast
爆炸 explosion
爆炸 detonation
喜欢 like
各种 assorted
警方 police
十七 seventeen
尹 yoon
能量 energy
酒 alcohol
酒 wine
地面 surface
地面 ground
太平 taiping
普遍 universal
十年 decade
然后 then
十四 fourteen
鬼 ghost
昆 kun
中山 zhongshan
鼠 rat
鼠 mouse
鼠 mice
必要 necessary
俄 russia
彩 chae
山西 shanxi
南极洲 antarctica
南极洲 antarctic
吕 lü
小型 small
退出 quit
退出 exit
以色列 israel
儿童 children
儿童 child
一切 everything
东部 east
东部 eastern
逐渐 gradual
逐渐 gradually
博物馆 museums
博物馆 museum
固定 fixed
固定 stationary
对话 conversation
对话 dialogue
对话 dialogues
对话 dialog
对话 conversations
琴 violin
阶段 phase
阶段 phases
阶段 stages
阶段 stage
江西 jiangxi
游 swim
游 tour
游 swimming
薛 xue
病 ill
病 illness
病 disease
病 sick
病 sickness
问 ask
翡翠 jade
维持 maintain
维持 maintaining
维持 maintenance
格式 formatting
格式 formats
格式 format
事故 accident
事故 accidents
台北 taipei
互 mutual
刺 stab
艺人 artiste
艺人 entertainers
艺人 artist
艺人 artists
艺人 entertainer
天使 angels
天使 angel
表面 surface
池 pond
池 ji
池 pool
陆 lu
图片 picture
图片 pictures
图片 image
图片 images
建设 construction
风暴 storms
风暴 storm
定义 definition
定义 define
定义 defining
定义 definitions
步兵 infantry
指定 specifies
指定 designation
指定 designated
指定 specify
解决 resolve
解决 solve
熊 bears
熊 xiong
熊 bear
休 hugh
国语 mandarin
火箭 rockets
火箭 rocket
骑士 knight
骑士 cavs
骑士 knights
指挥 command
指挥 conductor
安排 arrange
安排 arrangements
安排 arrangement
实 minoru
象 elephants
象 elephant
明星 star
明星 stars
爆发 outbreak
爆发 eruption
现任 current
现任 present
潮 tide
你的 your
匈牙利 hungary
匈牙利 hungarian
羊 sheep
羊 goat
河流 river
河流 rivers
出席 attending
出席 attended
改造 makeover
改造 remodel
车辆 vehicles
车辆 vehicle
京都 kyoto
五月 may
上午 morning
河北 hebei
冯 feng
使用者 user
使用者 users
邓 deng
机械 machine
机械 machinery
机械 mechanical
争议 disputed
争议 controversy
争议 disputes
争议 controversies
争议 controversial
争议 dispute
发射 launch
首先 first
入侵 invasion
入侵 incursions
同盟 league
同盟 alliances
同盟 alliance
同盟 allies
转换 convert
转换 conversion
转换 transform
转换 converting
转换 transformation
疑似 suspected
唱 sing
萧 shaw
血 blood
努力 efforts
事情 things
监督 oversight
监督 supervised
监督 supervision
监督 surveillance
轨道 track
轨道 orbital
轨道 tracks
轨道 orbit
轨道 orbits
今日 today
狼 wolf
尼斯 nice
部门 department
部门 sector
汗 sweating
汗 khan
汗 sweat
汗 sweaty
沿 along
南极 antarctic
南极 antarctica
综合 synthesis
广播 broadcast
广播 broadcasting
广播 radio
河畔 nad
比例 ratio
比例 proportions
比例 proportion
比例 proportional
偶像 idols
偶像 idol
侧 lateral
侧 side
怡 jardine
父母 parents
父母 parent
它们 they
钟 clock
选区 constituencies
选区 constituency
廖 liao
渡 wataru
飞行 flying
飞行 flight
统一 unified
统一 unity
统一 reunification
统一 unification
统一 harmonization
冬 winter
大奖 jackpot
恢复 restore
恢复 restoration
恢复 recovery
恢复 resume
绿 midori
绿 green
设施 facilities
设施 amenities
设施 installations
设施 facility
退役 decommissioning
退役 retired
退役 decommissioned
框 box
框 frames
框 frame
住宅 dwelling
住宅 residential
住宅 residences
住宅 residence
伊朗 iran
伊朗 iranian
围 wai
庄 banker
庄 zhuang
混合 hybrid
混合 mix
混合 blending
混合 mixed
混合 blend
混合 mixing
杀 kill
杀 slay
山脉 mountains
山脉 range
上海市 shanghai
莫斯科 moscow
食品 food
食品 foods
食品 foodstuffs
王国 kingdom
王国 realm
王国 kingdoms
希腊 greek
希腊 greece
深度 depths
深度 depth
高雄 kaohsiung
法案 bill
法案 bills
有限 limited
有限 finite
学者 academics
学者 scholar
学者 scholars
战士 soldier
战士 warrior
被迫 forced
湖北 hubei
合成 synthetic
合成 composite
合成 synthesis
四十 forty
傅 fu
基因 gene
基因 genes
罪 sin
罪 sins
鸟 bird
鸟 birds
教练 coach
展示 showcase
展示 show
展示 display
湘 xiang
枪 gun
锦 kam
只要 just
义大利 italy
义大利 italian
读 read
读 reading
很快 soon
成都 chengdu
追 chase
厚 thick
拍 shoot
统治 reign
藩 domain
部落 tribe
部落 tribal
部落 tribes
圆 circle
圆 round
帮助 help
教会 churches
教会 church
连结 connecting
连结 link
连结 connect
设定 set
设定 setting
设定 settings
记者 reporters
记者 journalist
记者 reporter
数量 quantities
数量 quantity
星系 galaxies
星系 galaxy
凤 phoenix
假 false
假 fake
感 sense
留下 stay
方便 convenient
领 collar
程式 program
程式 programs
校长 headmaster
校长 principal
合理 reasonable
挪威 norwegian
挪威 norway
步 step
勇 yong
所在地 location
解释 explanations
解释 explanation
解释 explain
十九 nineteen
刀 sword
刀 knife
批评 criticism
批评 criticisms
批评 criticize
太子 prince
纪 ji
档案 files
档案 archives
档案 file
档案 archive
爵士 jazz
狗 dog
狗 dogs
国会 parliament
国会 congress
病毒 virus
病毒 viruses
富士 fuji
阿根廷 argentina
当选 elected
创 tron
计算 calculate
计算 calculating
计算 computing
计算 calculation
计算 calculations
对手 rival
对手 opponents
对手 rivals
对手 opponent
碧 bea
汤 soup
一天 day
舰队 fleet
广州 guangzhou
钱 money
碑 stele
碑 monument
食用 edible
晋 jin
晋 jinn
广东 guangdong
广东 cantonese
棒球 baseball
中立 neutrality
中立 neutral
质量 mass
质量 quality
化石 fossils
化石 fossil
持有 possession
持有 holdings
持有 holding
理解 understood
理解 understanding
其实 actually
波兰 poland
美洲 america
美洲 americas
恒星 stellar
恒星 star
恒星 stars
淑 sook
部长 minister
挑战 challenges
挑战 challenge
挑战 challenging
东方 dongfang
东方 east
东方 oriental
东方 orient
东方 eastern
贾 jia
羽毛球 badminton
几乎 almost
阿拉 allah
玲 ling
消失 disappear
例子 examples
司令 commander
月球 lunar
月球 moon
地图 map
地图 maps
杭州 hangzhou
女儿 daughter
结婚 marriage
岳 yue
引用 quoted
引用 quote
引用 quotes
官员 officials
请求 requests
请求 request
殖民地 colonies
殖民地 colony
原子 atoms
原子 atomic
原子 atom
菲律宾 philippines
观众 spectators
观众 audience
观众 audiences
观众 viewers
进攻 attack
珊 sun
猫 cats
猫 cat
吸引 attraction
吸引 attracted
吸引 attract
吸引 attracting
测试 test
测试 tests
测试 testing
专业 professional
专业 profession
专业 specialty
旅游 tour
旅游 travel
旅游 tourism
旅游 tourist
旅游 traveling
石油 oil
石油 petroleum
浪 waves
浪 wave
需求 need
需求 needs
需求 demand
内部 interior
内部 inside
内部 internal
内部 internally
浦 pu
失 lost
集合 gather
方言 dialect
方言 dialects
日文 japanese
特里 terry
犯罪 crimes
犯罪 crime
君主 monarch
君主 monarchy
君主 sovereign
公爵 duke
降低 decrease
私人 private
软体 software
每日 everyday
每日 daily
拒绝 decline
拒绝 denial
拒绝 rejection
原始 raw
原始 primitive
原始 original
尖 pointy
潭 tam
警告 warning
警告 warnings
俱乐部 club
俱乐部 clubs
败 defeat
贸易 trading
贸易 trade
减少 decline
减少 reduce
减少 reduction
减少 decrease
减少 reducing
减少 reduced
知名度 visibility
身体 body
硬 hard
码头 dock
码头 wharf
码头 pier
女主角 heroine
女主角 actress
邱 qiu
恐怖 terror
恐怖 horror
柴油 diesel
肖 shaw
园 garden
生于 born
风格 styles
风格 style
这里 here
长度 lengths
长度 length
胜利 win
胜利 victory
胜利 triumph
女王 queen
蒙特 mont
天皇 emperor
每天 everyday
邀请 invite
邀请 inviting
邀请 invited
邀请 invitations
邀请 invitation
邀请 invites
传说 legend
传说 legends
变化 changes
舞台 arena
舞台 stage
实际 actual
食物 food
食物 foods
延伸 stretch
延伸 extending
延伸 extended
延伸 extend
延伸 extension
厂 plant
厂 factory
菊 ju
推 push
意外 accident
羽 feather
前锋 vanguard
前锋 striker
收费 charges
收费 charge
收费 fee
收费 charging
收费 fees
巷 lane
巷 alley
翔 xiang
翔 shang
翔 sho
图书馆 libraries
图书馆 library
突破 breakthrough
突破 breaking
人生 life
回应 responding
通用 generic
通用 common
修正 amendment
修正 amendments
修正 amend
天文 astronomical
天文 astronomy
原创 originality
原创 original
地铁 subway
地铁 metro
先后 successively
先后 successive
瓜 melon
司法 justice
花园 garden
花园 gardens
玄 xuan
玄 hyun
实验 experiments
实验 experiment
实验 experimental
课程 course
课程 curriculum
课程 courses
课程 curricula
估计 estimated
估计 estimations
估计 estimates
估计 estimating
估计 estimate
估计 estimation
箱 box
规划 planning
伏 volt
配置 configuration
配置 configure
后卫 defender
国内 domestically
国内 domestic
海南 hainan
柴 chai
个月 month
现场 scene
尤其是 especially
津 tsu
十字 cross
信仰 faith
信仰 belief
信仰 beliefs
反应 react
反应 reaction
反应 reactions
赏 reward
卒 pawn
文明 civilization
安徽 anhui
价值 values
价值 value
本地 locally
本地 local
案件 case
销售 selling
销售 sales
销售 sale
旅行 travel
旅行 travelling
旅行 traveling
旅行 trip
小姐 miss
多个 multiple
考虑 consider
靖 jing
波斯 persian
退休 retiring
退休 retirement
退休 retired
路易 louis
冬季 winter
步枪 rifles
步枪 rifle
捷运 mrt
捷运 metro
棋 chess
棋 shogi
久 long
机器 machine
机器 machines
通道 channel
通道 passage
墨 ink
疾病 illness
疾病 disease
疾病 diseases
疾病 sickness
含有 contains
逮捕 arrest
逮捕 arrests
英里 miles
心理 psychological
心理 psychology
心理 mental
气旋 cyclone
气旋 cyclones
生成 generating
生成 generate
生成 generated
生成 generates
每个 every
每个 each
失败 fail
失败 failed
失败 failure
嘴 mouth
捷克 czech
数位 digital
马来西亚 malaysia
协议 agreement
支流 tributaries
投降 surrender
蕾 lei
蕾 ree
郎 lang
四月 april
蛋白 protein
蛋白 proteins
条件 conditional
条件 conditions
条件 condition
苏格兰 scotland
印尼 indonesian
下降 decline
下降 drop
名单 list
名单 lists
队长 captain
霸 bak
高清 hd
戏剧 drama
戏剧 theater
戏剧 theatre
创建 create
创建 creation
创建 creating
牙 teeth
牙 tooth
吃 eating
吃 eat
首席 chief
可靠 reliable
强烈 strong
芝加哥 chicago
运作 functioning
女人 woman
滕 teng
济 je
华人 chinese
继承 succession
继承 inherit
继承 inheritance
淡水 freshwater
资源 resource
资源 resources
平面 flat
平面 plane
重量 weights
重量 weight
依然 still
化学 chemical
化学 chemistry
干 dry
蒋 chiang
房屋 house
房屋 houses
共识 consensus
基金会 foundation
基金会 foundations
老师 teacher
经纪 brokerage
经纪 broker
